Dataset,BaseLearner,PredictionType,Algorithm,Metric,Noise,Value
chestxray_densenet,LGBM,BinaryVector,cc,f1,0.1,0.3162±0.0066
chestxray_densenet,LGBM,BinaryVector,clr,f1,0.1,0.4333±0.0091
chestxray_densenet,LGBM,BinaryVector,ecc,f1,0.1,0.3871±0.0101
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,f1,0.2,0.1762±0.0020
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,f1,0.2,0.1762±0.0021
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,f1,0.2,0.1762±0.0020
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,f1,0.2,0.1762±0.0021
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,f1,0.2,0.1825±0.0026
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,f1,0.2,0.1825±0.0022
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,f1,0.2,0.1823±0.0026
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,f1,0.2,0.1824±0.0022
chestxray_densenet,LGBM,BinaryVector,br,f1,0.2,0.2523±0.0064
chestxray_densenet,LGBM,BinaryVector,cc,f1,0.2,0.2490±0.0039
chestxray_densenet,LGBM,BinaryVector,clr,f1,0.2,0.4248±0.0065
chestxray_densenet,LGBM,BinaryVector,ecc,f1,0.2,0.3196±0.0100
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,f1,0.3,0.1739±0.0021
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,f1,0.3,0.1739±0.0021
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,f1,0.3,0.1739±0.0021
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,f1,0.3,0.1739±0.0021
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,f1,0.3,0.1815±0.0022
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,f1,0.3,0.1815±0.0021
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,f1,0.3,0.1811±0.0023
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,f1,0.3,0.1812±0.0020
chestxray_densenet,LGBM,BinaryVector,br,f1,0.3,0.2061±0.0039
chestxray_densenet,LGBM,BinaryVector,cc,f1,0.3,0.2076±0.0025
chestxray_densenet,LGBM,BinaryVector,clr,f1,0.3,0.4030±0.0080
chestxray_densenet,LGBM,BinaryVector,ecc,f1,0.3,0.2367±0.0050
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,hamming_accuracy,0.0,0.1626±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,hamming_accuracy,0.0,0.1625±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,hamming_accuracy,0.0,0.1626±0.0018
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,hamming_accuracy,0.0,0.1625±0.0018
