Dataset,Prediction_Type,Metric,Noise_Level,Best_Algorithm,Best_Value,Worst_Algorithm,Worst_Value,Range
VirusPseAAC,PartialAbstention,hamming_accuracy_pa,0.2,PreOrder__Hamming__2,0.7512,PartialOrder__Hamming__None,0.7307,0.020499999999999963
VirusPseAAC,PartialAbstention,hamming_accuracy_pa,0.3,PreOrder__Subset__2,0.7087,PartialOrder__Subset__None,0.662,0.046699999999999964
VirusPseAAC,PartialAbstention,f1_pa,0.0,PreOrder__Subset__None,0.5274,PartialOrder__Hamming__2,0.5147,0.012699999999999934
VirusPseAAC,PartialAbstention,f1_pa,0.1,PartialOrder__Subset__2,0.5616,PreOrder__Subset__2,0.5148,0.04679999999999995
VirusPseAAC,PartialAbstention,f1_pa,0.2,PartialOrder__Hamming__None,0.5092,PreOrder__Subset__2,0.4955,0.01369999999999999
VirusPseAAC,PartialAbstention,f1_pa,0.3,PreOrder__Hamming__None,0.4716,PartialOrder__Subset__None,0.4094,0.06220000000000003
VirusPseAAC,PartialAbstention,subset0_1_pa,0.0,PreOrder__Subset__2,0.3929,PreOrder__Hamming__None,0.3183,0.0746
VirusPseAAC,PartialAbstention,subset0_1_pa,0.1,PartialOrder__Subset__2,0.4173,PreOrder__Hamming__None,0.3281,0.0892
VirusPseAAC,PartialAbstention,subset0_1_pa,0.2,PartialOrder__Hamming__2,0.3719,PreOrder__Subset__None,0.2326,0.1393
VirusPseAAC,PartialAbstention,subset0_1_pa,0.3,PartialOrder__Hamming__2,0.2563,PreOrder__Subset__None,0.108,0.1483
VirusPseAAC,PartialAbstention,arec,0.0,PartialOrder__Hamming__2,0.8582,PreOrder__Hamming__None,0.8406,0.01759999999999995
VirusPseAAC,PartialAbstention,arec,0.1,PartialOrder__Subset__2,0.8745,PreOrder__Hamming__None,0.8326,0.04190000000000005
VirusPseAAC,PartialAbstention,arec,0.2,PartialOrder__Hamming__2,0.8756,PreOrder__Hamming__None,0.8006,0.07500000000000007
VirusPseAAC,PartialAbstention,arec,0.3,PartialOrder__Hamming__2,0.8652,PreOrder__Subset__None,0.7468,0.11839999999999995
VirusPseAAC,PartialAbstention,aabs,0.0,PartialOrder__Hamming__2,0.3427,PreOrder__Hamming__None,0.28,0.06269999999999998
VirusPseAAC,PartialAbstention,aabs,0.1,PartialOrder__Hamming__2,0.4362,PreOrder__Hamming__None,0.2805,0.15569999999999995
VirusPseAAC,PartialAbstention,aabs,0.2,PartialOrder__Hamming__2,0.5278,PreOrder__Subset__None,0.2476,0.28020000000000006
VirusPseAAC,PartialAbstention,aabs,0.3,PartialOrder__Hamming__2,0.5906,PreOrder__Hamming__None,0.1952,0.3954
scene,BinaryVector,hamming_accuracy,0.0,cc,0.9176,PartialOrder__Subset__None,0.7396,0.17799999999999994
scene,BinaryVector,hamming_accuracy,0.1,cc,0.9146,PartialOrder__Subset__None,0.6815,0.23309999999999997
scene,BinaryVector,hamming_accuracy,0.2,br,0.9076,PartialOrder__Subset__None,0.5714,0.33619999999999994
scene,BinaryVector,hamming_accuracy,0.3,cc,0.8839,PartialOrder__Subset__None,0.4191,0.46480000000000005
scene,BinaryVector,f1,0.0,PreOrder__Hamming__None,0.6902,clr,0.1633,0.5269
scene,BinaryVector,f1,0.1,PreOrder__Hamming__None,0.6832,clr,0.2654,0.4178
scene,BinaryVector,f1,0.2,PreOrder__Hamming__2,0.6583,clr,0.2913,0.367
scene,BinaryVector,f1,0.3,PreOrder__Hamming__2,0.6079,clr,0.2398,0.3681
scene,BinaryVector,subset0_1,0.0,cc,0.6016,clr,0.1525,0.44910000000000005
scene,BinaryVector,subset0_1,0.1,cc,0.5735,clr,0.2501,0.3234
scene,BinaryVector,subset0_1,0.2,br,0.5482,PartialOrder__Hamming__None,0.2036,0.3446
scene,BinaryVector,subset0_1,0.3,br,0.4678,PartialOrder__Hamming__None,0.0353,0.4325
PlantPseAAC,BinaryVector,hamming_accuracy,0.0,br,0.9124,PartialOrder__Hamming__2,0.1658,0.7465999999999999
PlantPseAAC,BinaryVector,hamming_accuracy,0.1,br,0.9117,PartialOrder__Hamming__None,0.1542,0.7575
PlantPseAAC,BinaryVector,hamming_accuracy,0.2,cc,0.9106,PartialOrder__Hamming__None,0.1497,0.7608999999999999
PlantPseAAC,BinaryVector,hamming_accuracy,0.3,clr,0.9104,PartialOrder__Subset__None,0.159,0.7514
PlantPseAAC,BinaryVector,f1,0.0,PreOrder__Subset__None,0.1843,clr,0.0,0.1843
PlantPseAAC,BinaryVector,f1,0.1,PreOrder__Hamming__None,0.1801,clr,0.0026,0.17750000000000002
PlantPseAAC,BinaryVector,f1,0.2,PreOrder__Hamming__None,0.1764,clr,0.0061,0.1703
PlantPseAAC,BinaryVector,f1,0.3,PreOrder__Hamming__2,0.1861,clr,0.0138,0.17229999999999998
PlantPseAAC,BinaryVector,subset0_1,0.0,br,0.0491,clr,0.0,0.0491
PlantPseAAC,BinaryVector,subset0_1,0.1,cc,0.0517,PartialOrder__Hamming__2,0.0015,0.0502
PlantPseAAC,BinaryVector,subset0_1,0.2,cc,0.0685,PartialOrder__Hamming__2,0.0005,0.068
PlantPseAAC,BinaryVector,subset0_1,0.3,cc,0.0757,PartialOrder__Hamming__2,0.0,0.0757
GpositivePseAAC,BinaryVector,hamming_accuracy,0.0,cc,0.8569,PartialOrder__Subset__None,0.749,0.1079
GpositivePseAAC,BinaryVector,hamming_accuracy,0.1,br,0.8528,PartialOrder__Subset__None,0.6756,0.17720000000000002
GpositivePseAAC,BinaryVector,hamming_accuracy,0.2,br,0.8466,PartialOrder__Subset__2,0.5339,0.3127
GpositivePseAAC,BinaryVector,hamming_accuracy,0.3,cc,0.8148,PartialOrder__Hamming__2,0.3919,0.42289999999999994
GpositivePseAAC,BinaryVector,f1,0.0,PreOrder__Subset__None,0.6746,clr,0.027,0.6476
GpositivePseAAC,BinaryVector,f1,0.1,PreOrder__Subset__None,0.6647,clr,0.0857,0.579
GpositivePseAAC,BinaryVector,f1,0.2,PreOrder__Subset__2,0.6447,clr,0.052,0.5927
GpositivePseAAC,BinaryVector,f1,0.3,PreOrder__Subset__2,0.5847,clr,0.0433,0.5414
GpositivePseAAC,BinaryVector,subset0_1,0.0,cc,0.5607,clr,0.027,0.5337
GpositivePseAAC,BinaryVector,subset0_1,0.1,br,0.5298,clr,0.0857,0.44410000000000005
GpositivePseAAC,BinaryVector,subset0_1,0.2,br,0.5182,clr,0.052,0.4662
GpositivePseAAC,BinaryVector,subset0_1,0.3,cc,0.4547,PartialOrder__Hamming__None,0.0289,0.4258
VirusPseAAC,BinaryVector,hamming_accuracy,0.0,br,0.8221,PartialOrder__Hamming__None,0.5773,0.24480000000000002
VirusPseAAC,BinaryVector,hamming_accuracy,0.1,cc,0.8104,PartialOrder__Hamming__None,0.503,0.3074
VirusPseAAC,BinaryVector,hamming_accuracy,0.2,cc,0.8076,PartialOrder__Hamming__None,0.4368,0.37079999999999996
VirusPseAAC,BinaryVector,hamming_accuracy,0.3,clr,0.8003,PartialOrder__Subset__None,0.3858,0.41450000000000004
VirusPseAAC,BinaryVector,f1,0.0,PartialOrder__Hamming__None,0.4646,clr,0.0081,0.4565
VirusPseAAC,BinaryVector,f1,0.1,PreOrder__Hamming__None,0.4458,clr,0.0282,0.41759999999999997
VirusPseAAC,BinaryVector,f1,0.2,PreOrder__Subset__None,0.432,clr,0.0587,0.37329999999999997
VirusPseAAC,BinaryVector,f1,0.3,PreOrder__Hamming__None,0.4192,clr,0.0845,0.3347
VirusPseAAC,BinaryVector,subset0_1,0.0,br,0.2419,clr,0.0049,0.23700000000000002
VirusPseAAC,BinaryVector,subset0_1,0.1,br,0.2225,clr,0.0218,0.2007
VirusPseAAC,BinaryVector,subset0_1,0.2,cc,0.2075,PartialOrder__Hamming__None,0.0242,0.1833
VirusPseAAC,BinaryVector,subset0_1,0.3,br,0.1423,PartialOrder__Hamming__2,0.0073,0.135
scene,PartialAbstention,hamming_accuracy_pa,0.0,PartialOrder__Hamming__2,0.933,PreOrder__Subset__None,0.9272,0.005800000000000027
scene,PartialAbstention,hamming_accuracy_pa,0.1,PartialOrder__Hamming__2,0.9383,PreOrder__Subset__None,0.9262,0.0121
scene,PartialAbstention,hamming_accuracy_pa,0.2,PartialOrder__Hamming__2,0.9327,PreOrder__Subset__None,0.8994,0.033299999999999996
scene,PartialAbstention,hamming_accuracy_pa,0.3,PartialOrder__Hamming__2,0.8765,PreOrder__Hamming__None,0.8217,0.05479999999999996
scene,PartialAbstention,f1_pa,0.0,PartialOrder__Hamming__None,0.8327,PreOrder__Subset__None,0.8214,0.011299999999999977
scene,PartialAbstention,f1_pa,0.1,PartialOrder__Hamming__2,0.8485,PreOrder__Subset__2,0.8244,0.02410000000000001
scene,PartialAbstention,f1_pa,0.2,PartialOrder__Hamming__2,0.8411,PreOrder__Subset__None,0.7827,0.05840000000000001
scene,PartialAbstention,f1_pa,0.3,PartialOrder__Hamming__2,0.7745,PreOrder__Subset__None,0.6789,0.09560000000000002
scene,PartialAbstention,subset0_1_pa,0.0,PartialOrder__Hamming__2,0.7903,PreOrder__Subset__None,0.7575,0.03280000000000005
scene,PartialAbstention,subset0_1_pa,0.1,PartialOrder__Hamming__2,0.8042,PreOrder__Subset__None,0.737,0.06720000000000004
scene,PartialAbstention,subset0_1_pa,0.2,PartialOrder__Subset__2,0.7766,PreOrder__Subset__None,0.6341,0.14249999999999996
scene,PartialAbstention,subset0_1_pa,0.3,PartialOrder__Hamming__2,0.6682,PreOrder__Subset__None,0.3684,0.2998
scene,PartialAbstention,arec,0.0,PartialOrder__Hamming__2,0.9484,PreOrder__Subset__None,0.9428,0.005600000000000049
scene,PartialAbstention,arec,0.1,PartialOrder__Hamming__2,0.9572,PreOrder__Subset__None,0.9423,0.014900000000000024
scene,PartialAbstention,arec,0.2,PartialOrder__Hamming__2,0.9623,PreOrder__Subset__None,0.9209,0.04139999999999999
scene,PartialAbstention,arec,0.3,PartialOrder__Hamming__2,0.9511,PreOrder__Hamming__None,0.8544,0.0966999999999999
scene,PartialAbstention,aabs,0.0,PartialOrder__Subset__2,0.23,PreOrder__Subset__None,0.2138,0.01620000000000002
scene,PartialAbstention,aabs,0.1,PartialOrder__Subset__2,0.3069,PreOrder__Hamming__None,0.2186,0.08830000000000002
scene,PartialAbstention,aabs,0.2,PartialOrder__Subset__2,0.4392,PreOrder__Hamming__None,0.212,0.22719999999999999
scene,PartialAbstention,aabs,0.3,PartialOrder__Hamming__2,0.6051,PreOrder__Hamming__None,0.1834,0.42169999999999996
CHD_49,BinaryVector,hamming_accuracy,0.0,PreOrder__Hamming__2,0.7177,clr,0.6877,0.030000000000000027
CHD_49,BinaryVector,hamming_accuracy,0.1,cc,0.7026,clr,0.6746,0.028000000000000025
CHD_49,BinaryVector,hamming_accuracy,0.2,PreOrder__Hamming__2,0.688,PartialOrder__Subset__2,0.6506,0.03739999999999999
CHD_49,BinaryVector,hamming_accuracy,0.3,br,0.6411,PartialOrder__Subset__2,0.5821,0.05900000000000005
CHD_49,BinaryVector,f1,0.0,PreOrder__Subset__None,0.6762,clr,0.5131,0.16310000000000002
