proposed,baseline,wins,ties,losses,n,ptype,metric,noise
PartialOrder__Subset__2,clr,6,0,2,8,BinaryVector,example_precision,0.0
PartialOrder__Subset__None,br,5,0,3,8,BinaryVector,example_precision,0.0
PartialOrder__Subset__None,cc,4,0,4,8,BinaryVector,example_precision,0.0
PartialOrder__Subset__None,clr,6,0,2,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__2,br,7,0,1,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__2,cc,7,0,1,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__2,clr,6,0,2,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__None,br,5,0,3,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__None,cc,5,0,3,8,BinaryVector,example_precision,0.0
PreOrder__Hamming__None,clr,6,0,2,8,BinaryVector,example_precision,0.0
PreOrder__Subset__2,br,8,0,0,8,BinaryVector,example_precision,0.0
PreOrder__Subset__2,cc,8,0,0,8,BinaryVector,example_precision,0.0
PreOrder__Subset__2,clr,7,0,1,8,BinaryVector,example_precision,0.0
PreOrder__Subset__None,br,5,0,3,8,BinaryVector,example_precision,0.0
PreOrder__Subset__None,cc,5,0,3,8,BinaryVector,example_precision,0.0
PreOrder__Subset__None,clr,6,0,2,8,BinaryVector,example_precision,0.0
ecc,br,4,1,3,8,BinaryVector,example_precision,0.0
ecc,cc,2,0,6,8,BinaryVector,example_precision,0.0
ecc,clr,7,0,1,8,BinaryVector,example_precision,0.0
lp,br,6,0,2,8,BinaryVector,example_precision,0.0
lp,cc,6,0,2,8,BinaryVector,example_precision,0.0
lp,clr,6,0,2,8,BinaryVector,example_precision,0.0
mlknn,br,5,0,3,8,BinaryVector,example_precision,0.0
mlknn,cc,5,0,3,8,BinaryVector,example_precision,0.0
mlknn,clr,6,0,2,8,BinaryVector,example_precision,0.0
PartialOrder__Hamming__2,br,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__2,cc,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__2,clr,6,0,2,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__None,br,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__None,cc,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Hamming__None,clr,6,0,2,8,BinaryVector,example_precision,0.1
PartialOrder__Subset__2,br,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Subset__2,cc,4,0,4,8,BinaryVector,example_precision,0.1
PartialOrder__Subset__2,clr,6,0,2,8,BinaryVector,example_precision,0.1
PartialOrder__Subset__None,br,4,0,4,8,BinaryVector,example_precision,0.1
